Date,Open,High,Low,Close,Adj Close,Volume
2015-08-12,78174.796875,78174.796875,78174.796875,78174.796875,78174.796875,0
2015-08-13,77085.500000,77085.500000,77085.500000,77085.500000,77085.500000,0
2015-08-14,77309.000000,77309.000000,77309.000000,77309.000000,77309.000000,0
2015-08-17,76922.398438,76922.398438,76922.398438,76922.398438,76922.398438,0
2015-08-18,75960.101563,75960.101563,75960.101563,75960.101563,75960.101563,0
2015-08-19,75299.601563,75299.601563,75299.601563,75299.601563,75299.601563,0
2015-08-20,74681.796875,74681.796875,74681.796875,74681.796875,74681.796875,0
2015-08-21,73797.796875,73797.796875,73797.796875,73797.796875,73797.796875,0
2015-08-24,71342.000000,71342.000000,71342.000000,71342.000000,71342.000000,0
2015-08-25,73509.703125,73509.703125,73509.703125,73509.703125,73509.703125,0
2015-08-26,73615.898438,73615.898438,73615.898438,73615.898438,73615.898438,0
2015-08-27,74813.500000,74813.500000,74813.500000,74813.500000,74813.500000,0
2015-08-28,74641.601563,74641.601563,74641.601563,74641.601563,74641.601563,0
2015-08-31,75210.398438,75210.398438,75210.398438,75210.398438,75210.398438,0
2015-09-01,73569.703125,73569.703125,73569.703125,73569.703125,73569.703125,0
2015-09-02,73656.101563,73656.101563,73656.101563,73656.101563,73656.101563,0
2015-09-03,74004.101563,74004.101563,74004.101563,74004.101563,74004.101563,0
2015-09-04,72950.101563,72950.101563,72950.101563,72950.101563,72950.101563,0
2015-09-07,71865.796875,71865.796875,71865.796875,71865.796875,71865.796875,0
2015-09-08,72051.796875,72051.796875,72051.796875,72051.796875,72051.796875,0
2015-09-09,72003.296875,72003.296875,72003.296875,72003.296875,72003.296875,0
2015-09-10,71846.500000,71846.500000,71846.500000,71846.500000,71846.500000,0
2015-09-11,71350.898438,71350.898438,71350.898438,71350.898438,71350.898438,0
2015-09-14,71299.398438,71299.398438,71299.398438,71299.398438,71299.398438,0
2015-09-15,73173.398438,73173.398438,73173.398438,73173.398438,73173.398438,0
2015-09-16,74149.500000,74149.500000,74149.500000,74149.500000,74149.500000,0
2015-09-17,74980.601563,74980.601563,74980.601563,74980.601563,74980.601563,0
2015-09-18,75099.000000,75099.000000,75099.000000,75099.000000,75099.000000,0
2015-09-21,75860.703125,75860.703125,75860.703125,75860.703125,75860.703125,0
2015-09-22,74993.703125,74993.703125,74993.703125,74993.703125,74993.703125,0
